timestamp,A,B,C,Delicious,T5,T6,T7,T8
2024-08-15 04:43:04,20.0,25.8,25.3,24.7,23.8,24.3,24.9,25.4
2024-08-15 04:43:05,19.9,25.8,25.3,24.7,23.8,24.3,24.9,25.4
2024-08-15 04:43:06,19.9,25.8,25.3,24.7,23.9,24.3,24.9,25.4
2024-08-15 04:43:07,20.0,25.8,25.3,24.7,23.8,24.3,24.9,25.4
2024-08-15 04:43:08,23.7,25.8,25.3,24.7,23.8,24.3,24.9,25.4
2024-08-15 04:43:09,29.2,25.8,25.3,24.7,23.8,24.3,24.9,25.4
2024-08-15 04:43:10,31.1,25.8,25.4,24.7,23.9,24.4,24.9,25.4
2024-08-15 04:43:11,31.8,25.8,25.3,24.7,23.9,24.4,24.9,25.4
2024-08-15 04:43:12,30.7,25.8,25.4,24.7,23.9,24.3,24.9,25.4
2024-08-15 04:43:13,29.8,25.8,25.4,24.7,23.9,24.3,24.9,25.4
2024-08-15 04:43:14,29.0,25.8,25.4,24.7,23.9,24.3,24.9,25.4
2024-08-15 04:43:15,28.3,25.8,25.4,24.8,23.9,24.3,24.9,25.4
2024-08-15 04:43:16,27.5,25.9,25.4,24.7,23.9,24.3,24.9,25.4
2024-08-15 04:43:17,26.9,25.8,25.4,24.7,23.9,24.3,24.9,25.4
2024-08-15 04:43:18,26.3,25.8,25.4,24.8,23.9,24.3,24.9,25.4
2024-08-15 04:43:19,25.9,25.9,25.4,24.8,23.9,24.4,25.0,25.4
2024-08-15 04:43:20,25.5,25.9,25.4,24.8,24.0,24.4,25.0,25.4
2024-08-15 04:43:21,25.1,25.9,25.4,24.7,24.0,24.4,25.0,25.4
